sample_no,id,eriophyoids,p_fructiphilus,other_mites,rose_spp,symptoms,rrv,city,state,county,latitude,longitude,coordinates,collector,fdacs_report,date,day,month,year
1,1 L A Tville,0,No,0,Rl,No,No,Thomasville,GA,Thomas,30.7087194,-84.14334421,"30.7087194, -84.14334421",Derrick Conover,NA,2017-03-09T00:00:00Z,09,Mar,2017
2,1 LB Tville,0,No,0,Rl,No,No,Thomasville,GA,Thomas,30.7087194,-84.14334421,"30.7087194, -84.14334421",Derrick Conover,NA,2017-03-09T00:00:00Z,09,Mar,2017
3,1 F Tville,0,No,0,Rl,No,No,Thomasville,GA,Thomas,30.7087194,-84.14334421,"30.7087194, -84.14334421",Derrick Conover,NA,2017-03-09T00:00:00Z,09,Mar,2017
4,2 F Tville,0,No,0,Rl,No,No,Thomasville,GA,Thomas,30.86205357,-83.94611134,"30.86205357, -83.94611134",Derrick Conover,NA,2017-03-09T00:00:00Z,09,Mar,2017
5,2 L Tville,0,No,0,Rl,No,No,Thomasville,GA,Thomas,30.86205357,-83.94611134,"30.86205357, -83.94611134",Derrick Conover,NA,2017-03-09T00:00:00Z,09,Mar,2017
6,3 F Tville,0,No,0,Rl,No,No,Climax,GA,Decatur,30.83692871,-84.41342194,"30.83692871, -84.41342194",Derrick Conover,NA,2017-03-09T00:00:00Z,09,Mar,2017
7,3 L tville,0,No,0,Rl,No,No,Climax,GA,Decatur,30.83692871,-84.41342194,"30.83692871, -84.41342194",Derrick Conover,NA,2017-03-09T00:00:00Z,09,Mar,2017
8,1F mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
9,1L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
10,2F mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
11,2L mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
12,3F mrd,0,No,0,Rl,No,No,Tallahassee,FL,Leon,30.496187,-84.276859,"30.496187, -84.276859",Derrick Conover,NA,2017-03-01T00:00:00Z,01,Mar,2017
